,,
رقم الصنف,اسم الصف,الوحدة
022,ريتكو ملاعق صغير ابيض 10*100حبة,حبة
10,فستق امريكي ني شد 25 كغ,كيلو
10000,لوز يمني درجة اولى,كيلو
10001,فستق مقشور قلب,كيلو
10002,فستق شرائح,كيلو
10003,فستق صنوبري,كيلو
10004,لوز صنوبري,كيلو
10005,لوز انصاف,كيلو
10006,لوز مبشور حبة كامل,كيلو
10007,لوز شرائح,كيلو
10008,صنوبر باكستاني,كيلو
10010,فستق امريكي مالح رقم 1 درجه اولي,كيلو
10011,فستق امريكي ليمون رقم 1درجه اولي,كيلو
10012,مشكل مكسرات دار خولان ساده بدون ملح,كيلو
10013,لوز امريكي سادة  درجة اولى30/32,كيلو
10014,لوز امريكي مطحون 11.34 ك,كيلو
10015,لوز امريكي مالح,كيلو
10016,كاجو درجة اولى مالحW240,كيلو
10017,كاجو درجة اولى بدون ملحW W240,كيلو
10018,كاجو درجة اولى نيW240,كيلو
10019,فستق امريكي وسط ليمون 21/25,كيلو
10020,عين جمل امريكي  مقشور,كيلو
10021,لوز امريكي بلقشر,كيلو
10022,لوز افغاني درجة اولى شد 10 كيلو,كيلو
10023,بذر القرع,كيلو
10024,فول تكروني بالزيت,كيلو
10025,فول تكروني محمص شد 10 كيلو,كيلو
10026,حب شمسي مدخن رقم 1,كيلو
10027,فول سوداني بالقشر,كيلو
10028,حب مصري درجة اولى,كيلو
10029,حب الشملول,كيلو
10030,حب شمام مشهدي مالح,كيلو
10031,شمسي محمص بدون ملح,كيلو
10032,حب شمسي مالح,كيلو
10033,فستق امريكي وسط  مالح 25/21,كيلو
10034,حب قرع محموص بدون ملح,كيلو
10035,حب قرع ني جامبو مقاس 13سم,كيلو
10036,حب قرع مالح وسط ملح,كيلو
10036,حب قرع مالح وسط ملح,كيلو
10037,حب شمام مشهدي بدون ملح,كيلو
10038,زبيب اسود يمني,كيلو
10039,زبيب رازقي يمني رقم 1,كيلو
10040,زبيب ذهبي جامبو تشيلي شد 10 كيلو,كيلو
10041,زبيب اسود رقم 1,كيلو
10042,زبيب اصفرهندي شد 10كيلو,كيلو
10044,مكسرات تركية,كيلو
10045,مكسرات الوليد رقم 5,كيلو
10046,مكسرات صيني ملون مشكلة,كيلو
10047,كاجو محموص بدون ملح W W 320,كيلو
10048,كاجو -مالح W W 320,كيلو
10049,كاجوني فيتنامي ني  W 320,كيلو
10050,كاجو محموص بدون ملح W180,كيلو
10051,كاجو مالح  W180,كيلو
10052,كاجو ني  W180,كيلو
10053,كاجو مد خن  W W240,كيلو
10054,رمان مجفف شد10ك,كيلو
10055,مشكل مكسرات رقم 2,كيلو
10058,جوز بيكان مقشر  شد 13.780كيلو,كيلو
10059,ذرة محمصة كتشب,كيلو
10060,حب شمسي ني,كيلو
10061,ذرة  محمصة حار كرتون5كغ*2,كيلو
10062,ذرة محمصة مالح شد 10 كيلو,كيلو
10063,ذرةمحمصة جبن 5كغ*2,كيلو
10064,مكسرات مقرمشات مكسيكية مشكلة,كيلو
10065,فول بالسمسم شد10,كيلو
10068,فول صويا ني شد 30 كيلو,كيلو
10069,قضامة هندي 10كغ,كيلو
10070,لوز امريكي ليمون,كيلو
10071,زبيب اسود افغاني وسط -10 كغ,كيلو
10072,فستق مطحون رقم 1 شد 10 كيلو,كيلو
10074,بندق ابيض شد10كيلو,كيلو
