2026-01-06 05:33:47 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/reports/shipment-profitability?page=1&limit=100","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"44ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-06 05:33:52 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/reports/cost-variance?page=1&limit=100","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"6ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-06 08:28:45 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/reports/shipment-profitability?page=1&limit=100","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"43ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-06 08:28:50 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/reports/cost-variance?page=1&limit=100","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"11ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-06 08:29:29 [ERROR]: ❌ Migration failed: 098_seed_logistics_cost_default_accounts.sql relation "da" does not exist | {"length":103,"name":"error","severity":"ERROR","code":"42P01","position":"2556","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-06 11:29:40 [ERROR]: ❌ Migration failed: 098_seed_logistics_cost_default_accounts.sql relation "da" does not exist | {"length":103,"name":"error","severity":"ERROR","code":"42P01","position":"2556","file":"parse_relation.c","line":"1452","routine":"parserOpenTable"}
2026-01-06 08:37:15 [ERROR]: Get unread count failed Connection terminated due to connection timeout | {"cause":{}}
2026-01-06 08:37:15 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/notifications/unread-count","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"3715ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-06 10:42:03 [ERROR]: Get unread count failed Connection terminated due to connection timeout | {"cause":{}}
2026-01-06 10:42:03 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/notifications/unread-count","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"4817ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-06 12:10:33 [ERROR]: Get unread count failed Connection terminated due to connection timeout | {"cause":{}}
2026-01-06 12:10:33 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/notifications/unread-count","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"13649ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-06 13:00:55 [ERROR]: Get unread count failed Connection terminated due to connection timeout | {"cause":{}}
2026-01-06 13:00:55 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/notifications/unread-count","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"5594ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-06 13:36:04 [ERROR]: ❌ Migration failed: 099_create_procurement_module.sql relation "uom" does not exist | {"length":101,"name":"error","severity":"ERROR","code":"42P01","file":"namespace.c","line":"433","routine":"RangeVarGetRelidExtended"}
2026-01-06 13:36:35 [ERROR]: ❌ Migration failed: 100_seed_procurement_data.sql column "is_active" of relation "permissions" does not exist | {"length":136,"name":"error","severity":"ERROR","code":"42703","position":"16885","file":"parse_target.c","line":"1075","routine":"checkInsertTargets"}
