2026-01-22 05:06:44 [ERROR]: Request failed with server error | {"method":"PUT","url":"/api/shipment-expenses/3","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"76ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:06:58 [ERROR]: Request failed with server error | {"method":"PUT","url":"/api/shipment-expenses/3","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"45ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:08:02 [ERROR]: Request failed with server error | {"method":"PUT","url":"/api/letters-of-credit/1","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"54ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:08:26 [ERROR]: Request failed with server error | {"method":"PUT","url":"/api/letters-of-credit/1","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"46ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:30:09 [ERROR]: Error fetching customs declarations: relation "customs_declarations" does not exist | {"length":119,"name":"error","severity":"ERROR","code":"42P01","position":"43","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:30:09 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"27ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:30:09 [ERROR]: Error fetching customs declaration types: relation "customs_declaration_types" does not exist | {"length":125,"name":"error","severity":"ERROR","code":"42P01","position":"183","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:30:09 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations/types","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"27ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:30:09 [ERROR]: Error fetching customs declarations: relation "customs_declarations" does not exist | {"length":119,"name":"error","severity":"ERROR","code":"42P01","position":"43","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:30:09 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"7ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:30:09 [ERROR]: Error fetching customs declaration statuses: relation "customs_declaration_statuses" does not exist | {"length":128,"name":"error","severity":"ERROR","code":"42P01","position":"149","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:30:09 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations/statuses","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"42ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
2026-01-22 05:30:09 [ERROR]: Error fetching customs declaration types: relation "customs_declaration_types" does not exist | {"length":125,"name":"error","severity":"ERROR","code":"42P01","position":"183","file":"parse_relation.c","line":"1392","routine":"parserOpenTable"}
2026-01-22 05:30:09 [ERROR]: Request failed with server error | {"method":"GET","url":"/api/customs-declarations/types","ip":"::ffff:172.18.0.1","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","statusCode":500,"duration":"22ms","userId":5,"userEmail":"ali@alhajco.com","userRoles":["super_admin"]}
