رقم الحساب,العملة,اسم الحساب,المستوى,النوع,الحساب الرئيسي,التضمين,نوع التقرير
1,"R.S,",الاصول,1,رئيسي,0,الاصول,الميزانية العمومية
11,"R.S,",الاصول المتداولة,2,رئيسي,1,=,الميزانية العمومية
111,"R.S,",النقدية بالبنوك والصناديق,3,رئيسي,11,=,الميزانية العمومية
1111,"R.S,",النقدية في الصناديق,4,رئيسي,111,=,الميزانية العمومية
111101,"R.S,",الصناديق,5,رئيسي,1111,=,الميزانية العمومية
1111010007,"R.S,",صندوق فرع عتيقة,6,فرعي,111101,=,الميزانية العمومية
1111010019,"R.S,",صندوق فرع اليرموك,6,فرعي,111101,=,الميزانية العمومية
1111010010,"R.S,",صندوق فرع شقراء,6,فرعي,111101,=,الميزانية العمومية
1111010009,"R.S,",صندوق فرع ام الحمام,6,فرعي,111101,=,الميزانية العمومية
1111010008,"R.S,",صندوق فرع الروضة,6,فرعي,111101,=,الميزانية العمومية
1111010002,"R.S,",صندوق فرع التعمير,6,فرعي,111101,=,الميزانية العمومية
1111010017,"R.S,",صندوق فرع عتيقة 2 الجديد,6,فرعي,111101,=,الميزانية العمومية
1111010013,"R.S,",صندوق فرع الربوة,6,فرعي,111101,=,الميزانية العمومية
1111010012,"R.S,",صندوق فرع ام الحمام 2 شارع الاربعين,6,فرعي,111101,=,الميزانية العمومية
1111010021,"R.S,",صندوق فرع السلام,6,فرعي,111101,=,الميزانية العمومية
1111010004,"R.S,",صندوق وسيط نقاط البيع,6,فرعي,111101,=,الميزانية العمومية
1111010022,"R.S,",صندوق فرع العويس,6,فرعي,111101,=,الميزانية العمومية
1111010011,"R.S,",صندوق الروضه 2 -سلمان الفارسي,6,فرعي,111101,=,الميزانية العمومية
1111010014,"R.S,",صندوق فرع القرية الشعبية,6,فرعي,111101,=,الميزانية العمومية
1111010006,"R.S,",صندوق فرع التعمير 2,6,فرعي,111101,=,الميزانية العمومية
1111010018,"R.S,",صندوق فرع التعمير 3 الجديد,6,فرعي,111101,=,الميزانية العمومية
1111010003,"R.S,",صندوق  محل الديرة الفرع الرئيسي,6,فرعي,111101,=,الميزانية العمومية
1111010023,"R.S,",صندوق فرع اسواق حجاب- النسيم,6,فرعي,111101,=,الميزانية العمومية
1111010001,"R.S,",صندوق الادارة الرئيسي,6,فرعي,111101,=,الميزانية العمومية
111102,"R.S,",عهدة صناديق (فكة),5,رئيسي,1111,=,الميزانية العمومية
1111020001,"R.S,",عهده صناديق (فكة ),6,فرعي,111102,=,الميزانية العمومية
1112,"R.S,",النقدية في البنوك,4,رئيسي,111,=,الميزانية العمومية
111201,"R.S,",البنوك,5,رئيسي,1112,=,الميزانية العمومية
1112010008,"$,R.S,",بنك الرياض,6,فرعي,111201,=,الميزانية العمومية
1112010002,"R.S,",بنك الراجحي,6,فرعي,111201,=,الميزانية العمومية
1112010007,"$,R.S,",البنك الاهلي -دولار$,6,فرعي,111201,=,الميزانية العمومية
1112010004,"R.S,",بنك الانماء -دار خولان,6,فرعي,111201,=,الميزانية العمومية
1112010003,"R.S,",بنك الانماء موقف,6,فرعي,111201,=,الميزانية العمومية
1112010006,"R.S,",البنك السعودي الفرنسي,6,فرعي,111201,=,الميزانية العمومية
1112010001,"R.S,",البنك الأهلي,6,فرعي,111201,=,الميزانية العمومية
1112010005,"R.S,",البنك الاهلي -شبكات,6,فرعي,111201,=,الميزانية العمومية
1112010010,"$,R.S,",بنك الانماء دولار,6,فرعي,111201,=,الميزانية العمومية
1112010009,"$,R.S,",بنك الجزيرة,6,فرعي,111201,=,الميزانية العمومية
1113,"R.S,",شيكات قبض تحت التحصيل,4,رئيسي,111,=,الميزانية العمومية
111301,"R.S,",شيكات قبض تحت التحصيل,5,رئيسي,1113,=,الميزانية العمومية
1113010001,"R.S,",شيكات تحت التحصيل,6,فرعي,111301,=,الميزانية العمومية
112,"R.S,",المدينون,3,رئيسي,11,=,الميزانية العمومية
1121,"R.S,",العملاء,4,رئيسي,112,=,الميزانية العمومية
112101,"R.S,",العملاء,5,رئيسي,1121,=,الميزانية العمومية
1121010002,"R.S,",عملاء خارجيين,6,فرعي,112101,=,الميزانية العمومية
1121010003,"R.S,",عملاء ايجارات,6,فرعي,112101,=,الميزانية العمومية
1121010001,"$,R.S,",عملاء محليين,6,فرعي,112101,=,الميزانية العمومية
112102,"R.S,",مخصص الديون المشكوك فيها,5,رئيسي,1121,=,الميزانية العمومية
112102001,"R.S,",مخصص ديون مشكوك في تحصيلها,6,فرعي,112102,=,الميزانية العمومية
113,"R.S,",ذمم موظفين والتامينات والعهد,3,رئيسي,11,=,الميزانية العمومية
1131,"R.S,",ذمم موظفين,4,رئيسي,113,=,الميزانية العمومية
113101,"R.S,",سلف العاملين,5,رئيسي,1131,=,الميزانية العمومية
1131010001,"R.S,",الموظف عمران علي شرف,6,فرعي,113101,=,الميزانية العمومية
1132,"R.S,",السلف المؤقتة (العهد ),4,رئيسي,113,=,الميزانية العمومية
113201,"R.S,",العهد المؤقتة (العهد ),5,رئيسي,1132,=,الميزانية العمومية
1132010002,"R.S,",عهد موظفين (تحويلات بنكية),6,فرعي,113201,=,الميزانية العمومية
1132010001,"R.S,",عهد الموظفين,6,فرعي,113201,=,الميزانية العمومية
1133,"R.S,",الضمانات المدينة,4,رئيسي,113,=,الميزانية العمومية
113301,"R.S,",ضمانات اعتمادات,5,رئيسي,1133,=,الميزانية العمومية
1133010001,"R.S,",ضمانات اعتمادات بنكية,6,فرعي,113301,=,الميزانية العمومية
1134,"R.S,",التامينات المدينة .....,4,رئيسي,113,=,الميزانية العمومية
1135,"R.S,",سلف الموظفين,4,رئيسي,113,=,الميزانية العمومية
114,"R.S,",المخزون,3,رئيسي,11,=,الميزانية العمومية
1141,"R.S,",المخزون السلعي,4,رئيسي,114,=,الميزانية العمومية
114101,"R.S,",المخزون العام,5,رئيسي,1141,=,الميزانية العمومية
1141010001,"R.S,",المخزن الرئيسي,6,فرعي,114101,=,الميزانية العمومية
1141010003,"R.S,",مخزن محلات الجملة,6,فرعي,114101,=,الميزانية العمومية
1141010002,"R.S,",مخازن المندوبين,6,فرعي,114101,=,الميزانية العمومية
115,"R.S,",الاعتمادات المستندية وخطابات الضمان,3,رئيسي,11,=,الميزانية العمومية
1151,"R.S,",الاعتمادات المستندية,4,رئيسي,115,=,الميزانية العمومية
115101,"R.S,",الاعمادات المستندية,5,رئيسي,1151,=,الميزانية العمومية
1151010004,"R.S,",مصاريف بنكيه,6,فرعي,115101,=,الميزانية العمومية
1151010001,"$,R.S,",اعتماد الفاتورة,6,فرعي,115101,=,الميزانية العمومية
1151010005,"R.S,",مصروفات الشحن,6,فرعي,115101,=,الميزانية العمومية
1151010006,"R.S,",مصروفات اخري,6,فرعي,115101,=,الميزانية العمومية
1151010002,"R.S,",الجمارك,6,فرعي,115101,=,الميزانية العمومية
1151010003,"R.S,",مصاريف تكاليف المشتريات الخارجية,6,فرعي,115101,=,الميزانية العمومية
1151010007,"R.S,",مصروفات تامين بحري (تامين حمولة),6,فرعي,115101,=,الميزانية العمومية
116,"R.S,",الارصدة المدينة الاخرى,3,رئيسي,11,=,الميزانية العمومية
1161,"R.S,",حسابات انتقالية مدينة,4,رئيسي,116,=,الميزانية العمومية
116101,"R.S,",المصاريف المدفوعة مقدماً,5,رئيسي,1161,=,الميزانية العمومية
1161010035,"R.S,",ايجار مقدم محل العويس,6,فرعي,116101,=,الميزانية العمومية
1161010005,"R.S,",ايجار مقدم المستودع رقم 44,6,فرعي,116101,=,الميزانية العمومية
1161010036,"R.S,",ايجار شقة محل العويس,6,فرعي,116101,=,الميزانية العمومية
1161010022,"R.S,",ايجار مقدم شقة العزيزية,6,فرعي,116101,=,الميزانية العمومية
1161010013,"R.S,",ايجار مقدم فرع ام الحمام 1,6,فرعي,116101,=,الميزانية العمومية
1161010018,"R.S,",ايجار مقدم فرع القرية الشعبية,6,فرعي,116101,=,الميزانية العمومية
1161010021,"R.S,",ايجار مقدم فرع اليرموك,6,فرعي,116101,=,الميزانية العمومية
1161010032,"R.S,",ايجار مقدم شقة اليرموك,6,فرعي,116101,=,الميزانية العمومية
1161010034,"R.S,",ايجار مقدم شقة  اسواق مكة,6,فرعي,116101,=,الميزانية العمومية
1161010019,"R.S,",ايجار مقدم فرع عتيقة 2,6,فرعي,116101,=,الميزانية العمومية
1161010003,"R.S,",مصاريف كهرباء مقدم,6,فرعي,116101,=,الميزانية العمومية
1161010017,"R.S,",ايجار مقدم فرع الربوة,6,فرعي,116101,=,الميزانية العمومية
1161010012,"R.S,",ايجار مقدم فرع شقراء,6,فرعي,116101,=,الميزانية العمومية
1161010020,"R.S,",ايجار مقدم فرع التعمير 3,6,فرعي,116101,=,الميزانية العمومية
1161010014,"R.S,",ايجار مقدم فرع الروضه 1,6,فرعي,116101,=,الميزانية العمومية
1161010007,"R.S,",ايجار مقدم مستودع رقم 25,6,فرعي,116101,=,الميزانية العمومية
1161010011,"R.S,",ايجار مقدم فرع عتيقة 1 فتحه,6,فرعي,116101,=,الميزانية العمومية
1161010038,"R.S,",ايجار مقدم شقه فرع حجاب,6,فرعي,116101,=,الميزانية العمومية
1161010002,"R.S,",ايجار مقدم محل التعمير 1,6,فرعي,116101,=,الميزانية العمومية
1161010010,"R.S,",ايجار مقدم فرع التعمير 2,6,فرعي,116101,=,الميزانية العمومية
1161010033,"R.S,",ايجار مقدم شقة ام الحمام 1,6,فرعي,116101,=,الميزانية العمومية
1161010006,"R.S,",ايجار مقدم مستودع رقم 8 + 7,6,فرعي,116101,=,الميزانية العمومية
1161010008,"R.S,",ايجار مقدم فرع الديره,6,فرعي,116101,=,الميزانية العمومية
1161010016,"R.S,",ايجار مقدم فرع ام الحمام 2,6,فرعي,116101,=,الميزانية العمومية
1161010039,"R.S,",ايجار مقدم سكن موظفين الشركة - الاستراحة,6,فرعي,116101,=,الميزانية العمومية
1161010037,"R.S,",ايجار محل اسواق حجاب,6,فرعي,116101,=,الميزانية العمومية
1161010015,"R.S,",ايجار مقدم فرع الروضه 2 - سلمان الفارسي,6,فرعي,116101,=,الميزانية العمومية
1161010001,"R.S,",ايجار المكتب الرئيسي -التعمير,6,فرعي,116101,=,الميزانية العمومية
1161010004,"R.S,",رسوم تجديد الاقامات مقدم,6,فرعي,116101,=,الميزانية العمومية
1161010009,"R.S,",ايجار مقدم مستودع 7,6,فرعي,116101,=,الميزانية العمومية
116102,"R.S,",ضريبة القيمة المضافة,5,رئيسي,1161,=,الميزانية العمومية
1161020001,"$,R.S,",ضريبة القيمة المضافة - مشتريات,6,فرعي,116102,=,الميزانية العمومية
1161020002,"R.S,",وسيط ضريبة,6,فرعي,116102,=,الميزانية العمومية
116103,"R.S,",حسابات وسيطة,5,رئيسي,1161,=,الميزانية العمومية
1161030009,"R.S,",وسيط مبيعات معلقة الفروع,6,فرعي,116103,=,الميزانية العمومية
1161030001,"R.S,",وسيط التحويلاتت المخزنية,6,فرعي,116103,=,الميزانية العمومية
1161030006,"R.S,",وسيط تكاليف طحن وتحميص,6,فرعي,116103,=,الميزانية العمومية
1161030010,"R.S,",رقابة خصومات اضافية,6,فرعي,116103,=,الميزانية العمومية
1161030004,"R.S,",وسيط نقاط البيع,6,فرعي,116103,=,الميزانية العمومية
1161030002,"R.S,",وسيط تسوية المخزون,6,فرعي,116103,=,الميزانية العمومية
1161030003,"R.S,",وسيط مصاريف النقل,6,فرعي,116103,=,الميزانية العمومية
1161030008,"R.S,",وسيط فوارق عجز او فائض الصندوق,6,فرعي,116103,=,الميزانية العمومية
1161030011,"R.S,",تسويات جردية - مخزنية,6,فرعي,116103,=,الميزانية العمومية
1161030012,"R.S,",تسويات مخزنية الفروع -يومية,6,فرعي,116103,=,الميزانية العمومية
1161030007,"R.S,",وسيط مشتريات نقدية الفروع,6,فرعي,116103,=,الميزانية العمومية
116104,"R.S,",ايجارات مدينة اخرى,5,رئيسي,1161,=,الميزانية العمومية
12,"R.S,",الاصول الغير متداولة,2,رئيسي,1,=,الميزانية العمومية
121,"R.S,",الاصول الثابته,3,رئيسي,12,=,الميزانية العمومية
1211,"R.S,",السيارات وشاحنات النقل,4,رئيسي,121,=,الميزانية العمومية
121101,"R.S,",سيارات النقل,5,رئيسي,1211,=,الميزانية العمومية
1211010006,"R.S,",باص لنقل البضاعة تويوتا ثلاجة,6,فرعي,121101,=,الميزانية العمومية
1211010008,"R.S,",باص هاي ايس  تويوتا ابيض أ و أ 4144,6,فرعي,121101,=,الميزانية العمومية
1211010005,"R.S,",سيارة كامري,6,فرعي,121101,=,الميزانية العمومية
1211010002,"R.S,",سيارة كورلا 2013,6,فرعي,121101,=,الميزانية العمومية
1211010009,"R.S,",سيارة جيمس دينالي موديل 2024,6,فرعي,121101,=,الميزانية العمومية
1211010004,"R.S,",سيارة تويوتا افالون 2017,6,فرعي,121101,=,الميزانية العمومية
1211010001,"R.S,",سارة تويوتا هايس فان موديل 2022 ديزل يدوي,6,فرعي,121101,=,الميزانية العمومية
1211010003,"R.S,",سيارة هونداي اكسنت 2012,6,فرعي,121101,=,الميزانية العمومية
1211010007,"R.S,",سيارة كورولا فضي,6,فرعي,121101,=,الميزانية العمومية
121102,"R.S,",شاحنات النقل,5,رئيسي,1211,=,الميزانية العمومية
1211020001,"R.S,",شاحنات النقل,6,فرعي,121102,=,الميزانية العمومية
1212,"R.S,",الاثات والديكورات,4,رئيسي,121,=,الميزانية العمومية
121201,"R.S,",الاثاث والمفروشات,5,رئيسي,1212,=,الميزانية العمومية
1212010001,"R.S,",رفوف واستندات,6,فرعي,121201,=,الميزانية العمومية
